Shape,Result,Number,Time
<http://SGKG4.org/shapes/Constraint2>,valid,67168,666.9561789035797
<http://SGKG4.org/shapes/Constraint1>,valid,14235,346.1243577003479
<http://SGKG4.org/shapes/Constraint1>,valid,15511,346.1333198547363
<http://SGKG4.org/shapes/Constraint2>,valid,41682,666.8484046459198
<http://SGKG4.org/shapes/Constraint3>,violated,70219,951.4364857673645
<http://SGKG4.org/shapes/Constraint2>,valid,65850,666.9511778354645
<http://SGKG4.org/shapes/Constraint5>,valid,143144,1550.5011699199677
<http://SGKG4.org/shapes/Constraint5>,valid,162707,1550.5922074317932
<http://SGKG4.org/shapes/Constraint2>,valid,66659,666.9541430473328
<http://SGKG4.org/shapes/Constraint5>,valid,168720,1550.618204832077
<http://SGKG4.org/shapes/Constraint3>,violated,72525,951.4464492797852
<http://SGKG4.org/shapes/Constraint1>,valid,26082,346.2054057121277
<http://SGKG4.org/shapes/Constraint5>,valid,151297,1550.5361685752869
<http://SGKG4.org/shapes/Constraint4>,valid,106816,1230.6419088840485
<http://SGKG4.org/shapes/Constraint5>,valid,167173,1550.6111721992493
<http://SGKG4.org/shapes/Constraint2>,valid,34159,666.8173987865448
<http://SGKG4.org/shapes/Constraint1>,valid,15468,346.1323595046997
<http://SGKG4.org/shapes/Constraint1>,valid,20796,346.173380613327
<http://SGKG4.org/shapes/Constraint5>,valid,167538,1550.6132035255432
<http://SGKG4.org/shapes/Constraint5>,valid,142366,1550.4981679916382
<http://SGKG4.org/shapes/Constraint5>,valid,142444,1550.4981679916382
<http://SGKG4.org/shapes/Constraint2>,valid,66185,666.9521791934967
<http://SGKG4.org/shapes/Constraint2>,valid,53203,666.8965525627136
<http://SGKG4.org/shapes/Constraint5>,valid,163594,1550.5962030887604
<http://SGKG4.org/shapes/Constraint5>,valid,164267,1550.599170923233
<http://SGKG4.org/shapes/Constraint4>,valid,125127,1230.7228753566742
<http://SGKG4.org/shapes/Constraint2>,valid,54376,666.9045858383179
<http://SGKG4.org/shapes/Constraint2>,valid,38605,666.835399389267
<http://SGKG4.org/shapes/Constraint3>,valid,93298,951.5234525203705
<http://SGKG4.org/shapes/Constraint4>,valid,103720,1230.6268775463104
<http://SGKG4.org/shapes/Constraint4>,valid,121033,1230.7028765678406
<http://SGKG4.org/shapes/Constraint4>,valid,127694,1230.7338752746582
<http://SGKG4.org/shapes/Constraint2>,valid,38347,666.8343999385834
<http://SGKG4.org/shapes/Constraint4>,valid,114583,1230.6748740673065
<http://SGKG4.org/shapes/Constraint2>,valid,59062,666.9235563278198
<http://SGKG4.org/shapes/Constraint1>,valid,25367,346.20141863822937
<http://SGKG4.org/shapes/Constraint3>,valid,87573,951.5044500827789
<http://SGKG4.org/shapes/Constraint4>,valid,113256,1230.6698741912842
<http://SGKG4.org/shapes/Constraint3>,valid,80695,951.4794497489929
<http://SGKG4.org/shapes/Constraint2>,valid,51773,666.8905518054962
<http://SGKG4.org/shapes/Constraint1>,valid,7178,346.08032751083374
<http://SGKG4.org/shapes/Constraint3>,valid,95777,951.5324516296387
<http://SGKG4.org/shapes/Constraint3>,valid,93045,951.5234525203705
<http://SGKG4.org/shapes/Constraint4>,valid,130436,1230.7458753585815
<http://SGKG4.org/shapes/Constraint5>,valid,160756,1550.5841999053955
<http://SGKG4.org/shapes/Constraint3>,valid,92223,951.5205101966858
<http://SGKG4.org/shapes/Constraint1>,valid,16578,346.14131784439087
<http://SGKG4.org/shapes/Constraint2>,valid,58241,666.9205858707428
<http://SGKG4.org/shapes/Constraint1>,valid,13845,346.12232732772827
<http://SGKG4.org/shapes/Constraint3>,violated,69821,951.4354853630066
<http://SGKG4.org/shapes/Constraint3>,valid,92261,951.5205101966858
<http://SGKG4.org/shapes/Constraint2>,valid,45278,666.8635883331299
<http://SGKG4.org/shapes/Constraint4>,valid,128437,1230.7368755340576
<http://SGKG4.org/shapes/Constraint4>,valid,108118,1230.6468765735626
<http://SGKG4.org/shapes/Constraint1>,valid,11005,346.10435962677
<http://SGKG4.org/shapes/Constraint3>,violated,72185,951.445449590683
<http://SGKG4.org/shapes/Constraint3>,valid,79094,951.474449634552
<http://SGKG4.org/shapes/Constraint4>,valid,133294,1230.7578754425049
<http://SGKG4.org/shapes/Constraint2>,valid,58297,666.9205858707428
<http://SGKG4.org/shapes/Constraint2>,valid,46552,666.8695876598358
<http://SGKG4.org/shapes/Constraint2>,valid,66563,666.9541430473328
<http://SGKG4.org/shapes/Constraint3>,valid,95858,951.5344521999359
<http://SGKG4.org/shapes/Constraint4>,valid,128750,1230.7388756275177
<http://SGKG4.org/shapes/Constraint5>,valid,146788,1550.5171670913696
